domain,size,members,mean_acc,mean_rho,n_eff,evidence,plurality_acc,n_items,strict_acc,n_items_strict
science,4,bytedance_seed+claude_sonnet+deepseek_v4+gemini_pro,0.8726840696117805,0.487551764589267,1.6242630505871978,6.695417827052401,0.9006666666666666,250,0.9298642533936652,221
science,4,bytedance_seed+claude_sonnet+deepseek_v4+glm_46,0.8900179211469534,0.5246961881635995,1.5539480867828153,6.663560534990823,0.8973333333333333,250,0.94,150
science,4,bytedance_seed+claude_sonnet+deepseek_v4+gpt5_mini,0.9030555555555555,0.5408347877339755,1.5252596167718977,6.755177436624436,0.9073333333333333,250,0.9505494505494505,182
science,4,bytedance_seed+claude_sonnet+deepseek_v4+kimi_k2,0.9000299677270631,0.5296119364638191,1.545096056493539,6.790360605848539,0.9093333333333332,250,0.9386363636363636,220
science,4,bytedance_seed+claude_sonnet+deepseek_v4+qwen_3,0.9002263374485596,0.6105544863982781,1.412597244567112,6.211142831427451,0.9113333333333332,250,0.9409090909090909,220
science,4,bytedance_seed+claude_sonnet+gemini_pro+glm_46,0.8621464352031782,0.48087162200038475,1.637589312861453,6.600234479848827,0.8966666666666666,250,0.9313725490196079,153
science,4,bytedance_seed+claude_sonnet+gemini_pro+gpt5_mini,0.8751840696117804,0.466592761492932,1.6668206500038205,6.908669419200739,0.8993333333333332,250,0.9315789473684211,190
science,4,bytedance_seed+claude_sonnet+gemini_pro+kimi_k2,0.872158481783288,0.47147868384341085,1.6567015711453037,6.821310292191703,0.9073333333333332,250,0.9243697478991597,238
science,4,bytedance_seed+claude_sonnet+gemini_pro+qwen_3,0.8723548515047845,0.5415082186798149,1.5240855104162843,6.277962315388811,0.8986666666666666,250,0.9184100418410042,239
science,4,bytedance_seed+claude_sonnet+glm_46+gpt5_mini,0.8925179211469533,0.5204038909088086,1.5617608035270178,6.737353403650677,0.8973333333333333,250,0.9392857142857143,140
science,4,bytedance_seed+claude_sonnet+glm_46+kimi_k2,0.8894923333184609,0.5406787344912791,1.5255319490633081,6.533533838099348,0.904,250,0.9281045751633987,153
science,4,bytedance_seed+claude_sonnet+glm_46+qwen_3,0.8896887030399574,0.5885755206873453,1.446274572066781,6.196982629395801,0.9086666666666666,250,0.935064935064935,154
science,4,bytedance_seed+claude_sonnet+gpt5_mini+kimi_k2,0.9025299677270631,0.5169233956374434,1.5681538150804333,6.935758502224187,0.916,250,0.9424083769633508,191
science,4,bytedance_seed+claude_sonnet+gpt5_mini+qwen_3,0.9027263374485596,0.5944494218179447,1.437118038603691,6.359413675700892,0.9143333333333332,250,0.9332460732984293,191
science,4,bytedance_seed+claude_sonnet+kimi_k2+qwen_3,0.8997007496200672,0.5778444359206698,1.4633075765500252,6.42557169699509,0.917,250,0.9296218487394958,238
science,4,bytedance_seed+deepseek_v4+gemini_pro+glm_46,0.8665908796476227,0.48045656367530304,1.6384245346795983,6.665718965292571,0.8933333333333334,250,0.9395973154362416,149
science,4,bytedance_seed+deepseek_v4+gemini_pro+gpt5_mini,0.8796285140562249,0.4983011961272264,1.6032683662115386,6.7115083643954305,0.902,250,0.9478021978021978,182
science,4,bytedance_seed+deepseek_v4+gemini_pro+kimi_k2,0.8766029262277325,0.4592261824345866,1.6823131976927328,6.994841771776361,0.9006666666666666,250,0.9253393665158371,221
science,4,bytedance_seed+deepseek_v4+gemini_pro+qwen_3,0.876799295949229,0.5691407600532806,1.4774200645803381,6.145606402449412,0.9053333333333332,250,0.9276018099547512,221
science,4,bytedance_seed+deepseek_v4+glm_46+gpt5_mini,0.8969623655913977,0.5394998759860844,1.5275923499439092,6.662050484156854,0.8973333333333333,250,0.9528985507246377,138
science,4,bytedance_seed+deepseek_v4+glm_46+kimi_k2,0.8939367777629054,0.5158137835254363,1.5702029799803154,6.797132782868662,0.9033333333333333,250,0.9429530201342282,149
science,4,bytedance_seed+deepseek_v4+glm_46+qwen_3,0.8941331474844019,0.6035956125037925,1.4230890605498678,6.163252256578213,0.9006666666666666,250,0.9433333333333334,150
science,4,bytedance_seed+deepseek_v4+gpt5_mini+kimi_k2,0.9069744121715075,0.5241819376309768,1.5548799869580712,6.957254871622086,0.9113333333333332,250,0.9480874316939891,183
science,4,bytedance_seed+deepseek_v4+gpt5_mini+qwen_3,0.907170781893004,0.6415930065937681,1.36762468991558,6.122573817819065,0.9106666666666667,250,0.9453551912568307,183
science,4,bytedance_seed+deepseek_v4+kimi_k2+qwen_3,0.9041451940645117,0.5810270846533744,1.4582141867745595,6.4764832218019475,0.9073333333333333,250,0.9298642533936652,221
science,4,bytedance_seed+gemini_pro+glm_46+gpt5_mini,0.8690908796476228,0.4906499598133145,1.6181557859523668,6.618530522869794,0.872,250,0.935251798561151,139
science,4,bytedance_seed+gemini_pro+glm_46+kimi_k2,0.8660652918191304,0.48307264097330177,1.6331743952090982,6.636947102034577,0.896,250,0.9342105263157895,152
science,4,bytedance_seed+gemini_pro+glm_46+qwen_3,0.8662616615406269,0.5599414548536029,1.492635134189308,6.068347539075897,0.8946666666666666,250,0.922077922077922,154
science,4,bytedance_seed+gemini_pro+gpt5_mini+kimi_k2,0.8791029262277325,0.4610233350010135,1.6785071322295864,7.018152216172221,0.9006666666666666,250,0.9293193717277487,191
science,4,bytedance_seed+gemini_pro+gpt5_mini+qwen_3,0.879299295949229,0.5675213888657497,1.4800758662601263,6.191210560070443,0.9033333333333332,250,0.9240837696335078,191
